Art. nr. vores;Art. nr. deres; Ind netto ;kr. v/ kurs;Fragt ;Handling;Ind incl.;Vejl. udsalg;Vejl. udsalg;Vejl. udsalg;Vejl. udsalg;Vejl. udsalg;Vejl. udsalg;Vejl. udsalg;Vejl. udsalg;Vejl. udsalg;% tillæg;Før pris;;;;;;;;
;; i kurs ;"7,50";GNS;;  fragt ; Pris 1 ; Pris 2 ; Pris 3 ; Pris 4 ; Pris 5 ; Pris 6 ; Pris 7 ; Reseller ; EAN ;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
DSVESAFT;DSVESAFT;"68,19 €";511;100;;511;1072;995;918;908;893;;;790;995;"100,00%";"0,00";;;;;;;;
DSVESAHWF;DSVESAHWF;"12,45 €";93;125;;93;302;288;274;273;270;;;251;288;"100,00%";"0,00";;;;;;;;
SMCSS;SMCSS;"26,04 €";195;113;;308;492;477;446;;;;;400;459;"100,00%";"0,00";;;;;;;;
SMRBSBL;SMRBSBL;"112,89 €";847;113;;959;1535;1487;1391;;;;;1247;1429;"100,00%";"0,00";;;;;;;;
SRA4G25C9005SORT;KRA4G25C9005;" 3,87 € ";29;;;29;101;94;83;79;75;72;;72;94;"130,00%";"0,00";;;;;;;;
SRA3G25C9005SORT;KRA3G25C9005;" 4,97 € ";37;;;37;130;120;107;102;97;92;;92;120;"130,00%";"0,00";;;;;;;;
SRA2G25C9005SORT;KRA2G25C9005;" 7,00 € ";53;;;53;183;171;150;143;137;128;;116;171;"130,00%";"0,00";;;;;;;;
SRA1G25C9005SORT;KRA1G25C9005;" 11,13 € ";83;;;83;291;271;239;228;217;206;;206;271;"130,00%";"0,00";;;;;;;;
SRA0G25C9005SORT;KRA0G25C9005;" 19,51 € ";146;;;146;571;512;457;438;418;399;;380;512;"130,00%";"0,00";;;;;;;;
SR50x70G25C9005SORT;KR50x70G25C9005;" 8,43 € ";63;;;63;219;205;181;173;164;156;;156;205;"130,00%";"0,00";;;;;;;;
SR60x80G25C9005SORT;KR60x80G25C9005;" 19,51 € ";146;;;146;199;;;;;;;167;199;"130,00%";"0,00";;;;;;;;
SR70x100G25C9005SORT;KR70x100G25C9005;"15,01 €";113;;;113;351;322;293;285;271;256;;256;322;"130,00%";"0,00";;;;;;;;
SRA4G25C9003HVID;KRA4G25C9003;" 3,87 € ";29;;;29;101;94;83;79;75;72;;72;94;"130,00%";"0,00";;;;;;;;
SRA3G25C9003HVID;KRA3G25C9003;" 4,97 € ";37;;;37;130;120;107;102;97;92;;92;120;"130,00%";"0,00";;;;;;;;
SRA2G25C9003HVID;KRA2G25C9003;" 7,00 € ";53;;;53;183;171;150;143;137;128;;116;171;"130,00%";"0,00";;;;;;;;
SRA1G25C9003HVID;KRA1G25C9003;" 11,13 € ";83;;;83;291;271;239;228;217;206;;206;271;"130,00%";"0,00";;;;;;;;
